stop_id,stop_name,stop_lat,stop_lon,stop_code,tiploc_code,stop_desc,stop_timezone,wheelchair_boarding,platform_code,parent_station,location_type
9100WEYBDGBBUS,Weybridge (Platform BUS),51.36177129108,-0.45773859466,WYB,WEYBDGB,,Europe/London,0,BUS,910GWEYBDGB,0
9100WEYBDGE1,Weybridge (Platform 1),51.36177110208,-0.45772423712,WYB,WEYBDGE,,Europe/London,0,1,910GWEYBDGB,0
9100WEYBDGEBUS,Weybridge (Platform BUS),51.36177110208,-0.45772423712,WYB,WEYBDGE,,Europe/London,0,BUS,910GWEYBDGB,0
9100WEYBDGEDFL,Weybridge (Platform DFL),51.36177110208,-0.45772423712,WYB,WEYBDGE,,Europe/London,0,DFL,910GWEYBDGB,0
9100WEYMTHBUS,Weymouth (Platform BUS),50.6159266,-2.4549096,WEY,WEYMTH,,Europe/London,1,BUS,910GWEYMTH,0
9100WGSTS1,South Wigston (Platform 1),52.5823924,-1.13403,SWS,WGSTS,,Europe/London,0,1,910GWGSTS,0
9100WGSTS2,South Wigston (Platform 2),52.5823924,-1.13403,SWS,WGSTS,,Europe/London,0,2,910GWGSTS,0
9100WHAILES1,Wester Hailes (Platform 1),55.9143713,-3.2838201,WTA,WHAILES,,Europe/London,0,1,910GWHAILES,0
9100WHAILES2,Wester Hailes (Platform 2),55.9143713,-3.2838201,WTA,WHAILES,,Europe/London,0,2,910GWHAILES,0
9100WHALLEYBUS,Whalley (Lancs) (Platform BUS),53.82401709714,-2.41225300041,WHE,WHALLEY,,Europe/London,0,BUS,910GWHALLEY,0
9100WHALYBGBUS,Whaley Bridge (Platform BUS),53.33023470693,-1.98464504294,WBR,WHALYBG,,Europe/London,0,BUS,910GWHALYBG,0
9100WHAMHL7,West Ham (Platform 7),51.5280966,0.0045685,WEH,WHAMHL,,Europe/London,1,7,910GWHAMHL,0
9100WHAMHL8,West Ham (Platform 8),51.5280966,0.0045685,WEH,WHAMHL,,Europe/London,1,8,910GWHAMHL,0
9100WHCH1,Whitchurch (Cardiff) (Platform 1),51.5207949,-3.2225218,WHT,WHCH,,Europe/London,0,1,910GWHCH,0
9100WHHL1,Woodhall (Platform 1),55.9312843,-4.6557539,WDL,WHHL,,Europe/London,0,1,910GWHHL,0
9100WHHL2,Woodhall (Platform 2),55.9312843,-4.6557539,WDL,WHHL,,Europe/London,0,2,910GWHHL,0
